CaseID,CaseName,TruthModel,Solver,StructuralMismatch,ObservationNoise,ProcessNoise,Model,ExoMode,HorizonIdx,NumPoints,MeanWIS,MedianWIS,StdWIS,RMSE,MAE,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,AR,None,1,176,0.0279626722117363,0.0245263614359304,0.0170218800513681,0.0702550112699075,0.0535332327109286,0.904829545454545,0.117329545454546,0.224289772727273,0.277110800621335,0.00594813696788096,0.0189708801570886,0.00198662859704463,0.00105702648972217
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,AR,None,2,176,0.0294536120694722,0.0261357496989026,0.0215403692837998,0.0733682810537711,0.0530560626157907,0.913352272727273,0.125852272727273,0.225142045454546,0.295601472675659,0.00589511806842119,0.0203366384029467,0.00218211495556462,0.00103974064253971
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,AR,None,3,176,0.0320133915241237,0.0274951349489332,0.0287544109357943,0.0819323354649312,0.0584913836807752,0.904829545454545,0.117329545454546,0.227840909090909,0.312412143854546,0.00649904263119724,0.0212358493853136,0.00294600143030127,0.00133249807731154
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,AR,None,4,176,0.0361717540628792,0.0288701873302967,0.0433040271055467,0.0973628137864504,0.0671148502918865,0.892045454545455,0.104545454545455,0.231818181818182,0.329174178613414,0.00745720558798739,0.0225015616145708,0.00431463758473333,0.00189834927558766
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,AR,None,5,176,0.0410420605936206,0.0328098698387596,0.0511620469727549,0.114753293484956,0.079617687864832,0.876420454545455,0.0889204545454546,0.234375,0.354156042010759,0.00884640976275911,0.0241209417520847,0.00531671775811358,0.00275799132066325
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,AR,None,6,176,0.0443654254246225,0.0350564534540964,0.0565011672308745,0.124958904053112,0.0872535241938023,0.887784090909091,0.100284090909091,0.23125,0.382565861889809,0.00969483602153359,0.0260890805790615,0.00614763446015994,0.00243387436386744
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,AR,None,7,176,0.0480560637105821,0.0359813871039669,0.0584072092773002,0.133481755022069,0.0936578415374147,0.866477272727273,0.0789772727272727,0.236079545454546,0.405893935347453,0.0104064268374905,0.0277673976161393,0.00633890298641286,0.00354333627053944
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,AR,None,8,176,0.0526515092885608,0.0398449736563555,0.0629965647773317,0.146340265842635,0.105007174567937,0.863636363636364,0.0761363636363636,0.239204545454546,0.433621399798012,0.0116674638408819,0.0294940726874117,0.00758945998873476,0.0039005127715325
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,AR,None,9,176,0.0571649605743363,0.0415148872657243,0.0694025088092117,0.163043494197307,0.114107142678278,0.855113636363636,0.0676136363636363,0.239630681818182,0.464278345455505,0.0126785714086975,0.0315922520086632,0.00858283256479152,0.00431130459218401
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,AR,None,10,176,0.0606991415865004,0.0430464119808215,0.0737037001920188,0.170613412214992,0.12170831323255,0.850852272727273,0.0633522727272727,0.244034090909091,0.476826293346241,0.0135231459147277,0.0324044421976243,0.00937430824725507,0.0053972452268933
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,AR,None,11,176,0.0655608842877093,0.0471933163585004,0.0818167725728117,0.185455519813755,0.132883820767448,0.84375,0.05625,0.243607954545455,0.499239251214273,0.0147648689741609,0.0339145302223891,0.0107731498205309,0.00610833527062834
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,AR,None,12,176,0.0694242695960995,0.0491437994015944,0.0868632821579278,0.197277486720042,0.140751915337206,0.833806818181818,0.0463068181818181,0.250142045454546,0.517960488415142,0.015639101704134,0.0352510317372429,0.0115559722061008,0.00697816394862181
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,AR,None,13,176,0.07374752203879,0.0527104930621414,0.0931372228064988,0.210460105727887,0.150411003522836,0.815340909090909,0.027840909090909,0.259375,0.538896126747985,0.0167123337247596,0.0365957483548858,0.0126015921662495,0.00783784779289509
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,AR,None,14,176,0.0774214335531482,0.0565157994326207,0.0966895908724889,0.217734906932107,0.15719643288604,0.815340909090909,0.0278409090909091,0.259517045454546,0.555943482215009,0.0174662703206711,0.0376524045435655,0.0135866793748994,0.00871607931401221
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,ARX,I,1,176,0.0286762024734537,0.0240564984914788,0.022780693667494,0.0777184409079249,0.0563142489382463,0.886363636363636,0.0988636363636364,0.233380681818182,0.267421117751892,0.00625713877091625,0.0182927149220487,0.00308403910718804,0.00104230967330065
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,ARX,I,2,176,0.0304273987534,0.0254992424212161,0.0240356968422471,0.0797310154687703,0.0588716443589604,0.893465909090909,0.105965909090909,0.233096590909091,0.286150841160351,0.00654129381766226,0.019639770639103,0.0030635790132845,0.00118275528335022
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,ARX,I,3,176,0.0340094732205833,0.0273696949534793,0.0372587886239519,0.094084853379923,0.0665061805411098,0.872159090909091,0.0846590909090909,0.241051136363637,0.296738627336104,0.00738957561567887,0.0201401568745761,0.00481758056526697,0.00166216016506139
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,ARX,I,4,176,0.0376484908100865,0.0282288290420571,0.0448814882501204,0.105165169685423,0.0741258623034551,0.860795454545455,0.0732954545454546,0.242045454545455,0.314484985363409,0.00823620692260612,0.0214665865802881,0.00545442098940518,0.00249127631778707
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,ARX,I,5,176,0.0441951985704214,0.0315031829575709,0.0545348451742863,0.128035608368415,0.0887454181202292,0.849431818181818,0.0619318181818181,0.246022727272727,0.337565503491291,0.00986060201335881,0.023175158934406,0.00766634626478092,0.00349309135787566
