CaseID,CaseName,TruthModel,Solver,StructuralMismatch,ObservationNoise,ProcessNoise,Model,ExoMode,HorizonIdx,NumPoints,MeanWIS,MedianWIS,StdWIS,RMSE,MAE,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,AR,None,1,176,0.0300618854651274,0.0281243137612438,0.012793264655509,0.0724813186645601,0.0573049956770427,0.890625,0.103125,0.226278409090909,0.306684192390884,0.00636722174189364,0.020748517284917,0.00136563373127311,0.00158051270704366
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,AR,None,2,176,0.0351842702382382,0.0335076727857129,0.0149664010123396,0.0831840684690758,0.0678745365956384,0.899147727272727,0.111647727272727,0.224431818181818,0.351196676794986,0.00754161517729315,0.0240900005788788,0.00200135286158701,0.00155130162047928
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,AR,None,3,176,0.0400299074697361,0.0379558632272208,0.019541651500298,0.0935405910714671,0.0733405364524346,0.894886363636364,0.107386363636364,0.223721590909091,0.411412529805847,0.00814894849471495,0.0281162862944768,0.00215904855194065,0.00160562412860368
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,AR,None,4,176,0.0452575300120047,0.041267631953203,0.0282367529926299,0.110553733896948,0.0833430606178179,0.900568181818182,0.113068181818182,0.222585227272727,0.453948844970895,0.00926034006864643,0.0311064932693724,0.00302451726114462,0.00186617941284127
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,AR,None,5,176,0.0495627544428586,0.0446542600398413,0.0333624986944253,0.124821405988068,0.0934335410465643,0.896306818181818,0.108806818181818,0.223721590909091,0.48987895068907,0.0103815045607294,0.0335848207304696,0.00323205981052659,0.00236436934113308
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,AR,None,6,176,0.0538663780070202,0.0473594358965468,0.0393461808748104,0.135319438177022,0.102495906160517,0.893465909090909,0.105965909090909,0.224289772727273,0.526137330827137,0.0113884340178353,0.0357667147303944,0.0038922736382524,0.00281895562053814
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,AR,None,7,176,0.0586366406858316,0.0513082188163365,0.0430966932164899,0.148898638490078,0.112552182148923,0.889204545454545,0.101704545454546,0.226988636363637,0.554073672612412,0.012505798016547,0.0379303699125174,0.00447790044565449,0.00372257231111272
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,AR,None,8,176,0.0629233059678866,0.0542142751652225,0.0466894851568502,0.162184873387548,0.124288825007275,0.882102272727273,0.0946022727272728,0.229971590909091,0.582708369502619,0.0138098694452528,0.039557934837317,0.00491988819130823,0.00463561349400858
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,AR,None,9,176,0.0680896583886254,0.0575393618003703,0.0494009024018213,0.181095995892416,0.137572044719361,0.866477272727273,0.0789772727272727,0.2359375,0.610331225418486,0.0152857827465957,0.0416800990317596,0.005666802980717,0.00545697362955314
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,AR,None,10,176,0.073124477880924,0.0613674602784234,0.0550077223463032,0.19538089503824,0.147651224340671,0.849431818181818,0.0619318181818181,0.244602272727273,0.634202737304647,0.0164056915934079,0.0430350543980921,0.0069736449501429,0.006710086939281
