Scenario,Model,ExoMode,GroupCount,Mean_WindowWIS,Median_WindowWIS,Std_WindowWIS,Min_WindowWIS,Max_WindowWIS,IsAcceptable,FailureReason,IncludeInMainComparison
A1,ARX,Both,44,5.018916473511e-07,4.43772621577842e-07,4.3544212757338e-07,7.20857953029518e-09,1.89866288499416e-06,1,,1
A1,ARX,I,44,4.82519037341553e-07,4.68109435368336e-07,3.90667898293652e-07,3.70174250494082e-09,1.64997590924032e-06,1,,1
A1,ARX,S,44,5.11273268833499e-07,5.27636916877254e-07,4.02934681244538e-07,4.65570010480373e-09,1.49488663425335e-06,1,,1
A1,AR,None,44,0.00396076648700958,0.00273892141868801,0.00351098162360799,0.000378673050767091,0.0106752710417864,1,,1
A1,N4SID,Both,44,0.00865276313141557,0.00176298636143564,0.0236342019158467,0.00054714024194644,0.133015774367482,1,,0
A1,N4SID,I,44,0.0483572064169657,0.0519283172667247,0.0260047849088896,0.00240689529040238,0.0899445444941599,1,,1
A1,N4SID,S,44,0.0408284634481275,0.0400690783321494,0.026860360534099,0.00240668539836882,0.10582515119808,1,,1
A1,N4SID,None,44,0.0349068619766084,0.0373734957301585,0.0212165335251428,0.00381717691465726,0.0658472867218305,1,,1
A1,SSEST,I,44,0.045785130956559,0.0516959551386273,0.0230381220922468,0.00457579054547582,0.0811698054696667,1,,1
A2,ARX,Both,44,0.0318784476195004,0.00247151599518302,0.112205241737626,3.61298292870872e-14,0.655209648713217,1,,1
A2,ARX,I,44,0.0311071883614419,0.00201560607965911,0.112491912857398,3.61298292870872e-14,0.655209648713217,1,,1
A2,ARX,S,44,0.0309157161351095,0.000371781865734335,0.112134916882308,3.61298292870872e-14,0.655209648713217,1,,1
A2,AR,None,44,0.0244171252496388,0.00776535917633113,0.0674375235390434,3.61298292870872e-14,0.362883389566431,1,,1
A2,N4SID,Both,44,1277444.72682037,0.00252975021348876,8473609.42385767,3.61298292870872e-14,56207566.1993243,0,robust_log_outlier,0
A2,N4SID,I,44,0.0314024251154045,0.0040229268137519,0.117127650117202,3.61298292870872e-14,0.684631248557102,1,,1
A2,N4SID,S,44,0.0321249984325514,0.0046675345138159,0.117119094325821,3.61298292870872e-14,0.682904368284894,1,,1
A2,N4SID,None,44,0.0333314033996099,0.00742271714002631,0.114752661566877,3.61298292870872e-14,0.672002549726446,1,,1
A2,SSEST,I,44,0.0270119959454625,0.00305150609446422,0.105346426574132,3.61298292870872e-14,0.600170112689642,1,,1
A3,ARX,Both,44,0.000514262049685547,0.000323077153618712,0.000555171466361483,8.72516177416656e-05,0.0029542943385945,1,,1
A3,ARX,I,44,0.000702236081503786,0.000392841933747814,0.00129145126104358,2.21502221442334e-05,0.0079457609354104,1,,1
A3,ARX,S,44,0.000666778186670359,0.000368019084825424,0.000850948757421522,1.89330294510772e-05,0.00403385395512262,1,,1
A3,AR,None,44,0.0201151424978549,0.00938500662137417,0.0207325114951765,0.00219725790245354,0.0751786503253383,1,,1
A3,N4SID,Both,44,1052.95609188882,0.0560412114483932,6983.78001017724,0.00570409623982165,46325.2674490574,0,robust_log_outlier,0
A3,N4SID,I,44,0.141539892487096,0.14690927840809,0.106496575651208,0.00565306361030361,0.48365949412128,1,,1
A3,N4SID,S,44,0.159851989580896,0.147222518186486,0.13969792725233,0.00519179310813617,0.618551610856303,1,,1
A3,N4SID,None,44,0.102044793810379,0.0965108960332218,0.0657536824045231,0.00837616056681429,0.252721996679821,1,,1
A3,SSEST,I,44,0.126482693616014,0.129046390731351,0.0794737379176287,0.00127039022048149,0.274168235936323,1,,1
A4,ARX,Both,44,0.000432500514349815,0.000440368297922051,0.000300318229313084,2.0667494774229e-05,0.00140821281705622,1,,1
A4,ARX,I,44,0.000633324195487535,0.000345736510156984,0.000879706395104315,1.27643512555661e-05,0.00525374518641932,1,,1
A4,ARX,S,44,0.000461082291179941,0.000356786403225164,0.000378299641460269,1.84291168777649e-05,0.0020471522270656,1,,1
A4,AR,None,44,0.021234189047793,0.00956122824341201,0.0214857447557824,0.00193701738530092,0.071712101569686,1,,1
A4,N4SID,Both,44,1.40451656461792e+38,0.0522870284505274,9.31650891335322e+38,0.00830663988817542,6.17987288431886e+39,0,robust_log_outlier,0
A4,N4SID,I,44,0.132720531689427,0.146846844664022,0.0843642748804937,0.00465339996140328,0.292476060901454,1,,1
A4,N4SID,S,44,0.126089504570311,0.124075943524087,0.0982853712965187,0.00634235114015133,0.401963716391187,1,,1
A4,N4SID,None,44,0.105658147361923,0.109416069104695,0.066773774148727,0.00849421495658154,0.214462518761962,1,,1
A4,SSEST,I,44,0.125194434216289,0.144858140086143,0.0745763973912404,0.00231302872975477,0.252295422719208,1,,1
