Scenario,Model,ExoMode,GroupCount,MeanForecastDrivenRMSE,MeanForecastDrivenMAE,MeanPersistenceRtRMSE,MeanPersistenceRtMAE,MeanRMSEImprovement,MeanMAEImprovement
A1,AR,None,44,0.0010276304366337,0.000560399815783206,52.632271215113,39.1983837874397,52.6312435846764,39.197823387624
A1,ARX,Both,44,0.0406665330460966,0.0246734900067368,52.632271215113,39.1983837874397,52.5916046820669,39.173710297433
A1,ARX,I,44,0.000658270460303546,0.000380667940523241,52.632271215113,39.1983837874397,52.6316129446527,39.1980031194992
A1,ARX,S,44,0.0144537691129227,0.00895105408582201,52.632271215113,39.1983837874397,52.6178174460001,39.1894327333539
A1,N4SID,I,44,0.299794393430891,0.202776130658983,52.632271215113,39.1983837874397,52.3324768216821,38.9956076567808
A1,N4SID,None,44,1.01386987548833,0.684149776643954,52.632271215113,39.1983837874397,51.6184013396247,38.5142340107958
A1,N4SID,S,44,0.266268380861638,0.181827947848542,52.632271215113,39.1983837874397,52.3660028342514,39.0165558395912
A1,SSEST,I,44,0.301860360726012,0.202703355814659,52.632271215113,39.1983837874397,52.330410854387,38.9956804316251
A1,SSEST,None,44,0.399810124947147,0.264402341909644,52.632271215113,39.1983837874397,52.2324610901659,38.9339814455301
A1,SSEST,S,44,56.0648167722578,41.2365908579676,52.632271215113,39.1983837874397,-3.43254555714478,-2.03820707052787
A2,AR,None,44,1.18747529872624,0.721256711212809,23.2961536829295,18.3517412830438,22.1086783842033,17.630484571831
A2,ARX,Both,44,17.7466327493937,11.1914590107586,23.2961536829295,18.3517412830438,5.54952093353586,7.16028227228524
A2,ARX,I,44,18.7357064848742,12.041995023476,23.2961536829295,18.3517412830438,4.56044719805536,6.30974625956782
A2,ARX,S,44,14.193681166142,9.183590072674,23.2961536829295,18.3517412830438,9.10247251678749,9.1681512103698
A2,N4SID,I,44,13.2385060508679,10.7423199621359,23.2961536829295,18.3517412830438,10.0576476320616,7.60942132090785
A2,N4SID,None,44,11.2673777124319,8.40736069721517,23.2961536829295,18.3517412830438,12.0287759704976,9.94438058582863
A2,N4SID,S,44,39.460572625951,31.7639889290582,23.2961536829295,18.3517412830438,-16.1644189430214,-13.4122476460144
A2,SSEST,I,44,16.4950850433549,13.2845562840291,23.2961536829295,18.3517412830438,6.80106863957458,5.06718499901471
A2,SSEST,None,44,9.77927750062967,7.08221481194057,23.2961536829295,18.3517412830438,13.5168761822998,11.2695264711032
A2,SSEST,S,44,28.4036457869308,21.3036363224425,23.2961536829295,18.3517412830438,-5.1074921040013,-2.95189503939867
A3,AR,None,44,0.065984674461154,0.036576322436766,42.827030075111,31.7698563322958,42.7610454006499,31.7332800098591
A3,ARX,Both,44,1.33377226735036,0.820647247981059,42.827030075111,31.7698563322958,41.4932578077607,30.9492090843148
A3,ARX,I,44,0.322272293130449,0.186942612749116,42.827030075111,31.7698563322958,42.5047577819806,31.5829137195467
A3,ARX,S,44,1.61791666570365,0.999317899791185,42.827030075111,31.7698563322958,41.2091134094074,30.7705384325046
A3,N4SID,I,44,15.4306636714189,10.4264954439825,42.827030075111,31.7698563322958,27.3963664036922,21.3433608883134
A3,N4SID,None,44,4.28420933008784,2.87645159470547,42.827030075111,31.7698563322958,38.5428207450232,28.8934047375904
A3,N4SID,S,44,23.2767867771305,15.8165896535268,42.827030075111,31.7698563322958,19.5502432979806,15.953266678769
A3,SSEST,I,44,9.48243203087243,6.1419783035265,42.827030075111,31.7698563322958,33.3445980442386,25.6278780287693
A3,SSEST,None,44,2.38181513141969,1.52171316141566,42.827030075111,31.7698563322958,40.4452149436914,30.2481431708802
A3,SSEST,S,44,43.0535431015489,31.3056258910645,42.827030075111,31.7698563322958,-0.2265130264379,0.464230441231361
A4,AR,None,44,0.169494843541539,0.0939080767970608,101.599040874666,75.1574243609816,101.429546031125,75.0635162841845
A4,ARX,Both,44,2.77180266339029,1.71321873650126,101.599040874666,75.1574243609816,98.8272382112758,73.4442056244803
A4,ARX,I,44,0.871490897662177,0.50649498896117,101.599040874666,75.1574243609816,100.727549977004,74.6509293720204
A4,ARX,S,44,3.30315835908845,2.04556737976041,101.599040874666,75.1574243609816,98.2958825155776,73.1118569812212
A4,N4SID,I,44,39.795239593037,26.9282215007248,101.599040874666,75.1574243609816,61.8038012816291,48.2292028602568
A4,N4SID,None,44,7.26306429601908,4.77824581470094,101.599040874666,75.1574243609816,94.335976578647,70.3791785462807
A4,N4SID,S,44,40.3723318469371,27.1176583308237,101.599040874666,75.1574243609816,61.226709027729,48.0397660301579
A4,SSEST,I,44,27.5920319520746,17.8134141194636,101.599040874666,75.1574243609816,74.0070089225915,57.344010241518
A4,SSEST,None,44,3.73331802162842,2.31816811224697,101.599040874666,75.1574243609816,97.8657228530377,72.8392562487346
A4,SSEST,S,44,96.9521754719406,70.5802025758731,101.599040874666,75.1574243609816,4.64686540272552,4.57722178510845
