Model,ExoMode,HorizonIdx,GroupCount,MeanWIS,MeanAbsoluteError,MeanSquaredError,MeanCoverage,MeanIntervalWidth
AR,None,1,176,0.000133450218755773,0.000247444628161393,3.4111313102156e-07,0.582386363636364,0.000889254573282814
AR,None,2,176,0.000402405951152257,0.000725206314717043,2.52208857344264e-06,0.509943181818182,0.00215663930453266
AR,None,3,176,0.000808704876435672,0.00142600632259463,8.0221748638622e-06,0.478693181818182,0.00365334147373391
AR,None,4,176,0.00133460634481358,0.00233115123243078,1.86938776300239e-05,0.448863636363636,0.00538856091193049
AR,None,5,176,0.00198863117486024,0.00343886656540811,3.59563962445939e-05,0.430397727272727,0.00729547269069485
AR,None,6,176,0.00274185777087913,0.00474691611738041,6.04686698026676e-05,0.420454545454545,0.00937079055304307
AR,None,7,176,0.00359377352997148,0.00617345021956579,9.20747126963142e-05,0.404829545454545,0.0115763674514971
AR,None,8,176,0.00454171306191286,0.00778603088747392,0.000138233324924653,0.393465909090909,0.0139330198454261
AR,None,9,176,0.00560703139687699,0.00957544816751851,0.000199312163997937,0.375,0.0163836982995253
AR,None,10,176,0.00678386563023506,0.0115358073847404,0.000279162926170285,0.357954545454545,0.0189340705052692
AR,None,11,176,0.00809972721507134,0.013543753667041,0.000379316431924356,0.349431818181818,0.021580812565741
AR,None,12,176,0.00952242194947903,0.0157585464971652,0.000513532822865389,0.342329545454545,0.0243703193188144
AR,None,13,176,0.0110329413183119,0.0180287559085901,0.000674472007497177,0.34375,0.0272415841296387
AR,None,14,176,0.0126704158494156,0.0204328373378274,0.000877355964227425,0.330965909090909,0.030134171622669
ARX,I,1,176,0.000139271663765818,0.000250327827744239,2.78684106901529e-07,0.488636363636364,0.000837568056590115
ARX,I,2,176,0.000457151805076952,0.000775167394717858,2.49908856433396e-06,0.421875,0.00199437525918845
ARX,I,3,176,0.000975917356868513,0.00158674420336314,1.04985733956257e-05,0.393465909090909,0.00335140654819296
ARX,I,4,176,0.00171840117150146,0.00270147228197748,3.11233614078225e-05,0.353693181818182,0.00491286451625072
ARX,I,5,176,0.00270571124780043,0.00411661561899691,7.50329774347086e-05,0.323863636363636,0.00663778413730666
ARX,I,6,176,0.00393284714878905,0.00586199572179265,0.000157230025207646,0.299715909090909,0.0085098588590166
ARX,I,7,176,0.00542031947344612,0.00789517605042316,0.000293951643664717,0.291193181818182,0.0104946917573302
ARX,I,8,176,0.00714648129635007,0.0102312707060343,0.000502167239202592,0.279829545454545,0.0125992806120492
ARX,I,9,176,0.00911773848010812,0.012870294002409,0.000799410288579057,0.268465909090909,0.0147924985219368
ARX,I,10,176,0.0113212034312916,0.0157934458767294,0.00118995181055186,0.267045454545455,0.0170978475398482
ARX,I,11,176,0.0137502652726596,0.0189935030413326,0.00167788174846328,0.254261363636364,0.0194919880077438
ARX,I,12,176,0.016389944666805,0.0224850116017456,0.0022575754501821,0.247159090909091,0.0219871175596836
