Scenario,Model,ExoMode,WindowDay,WindowDayIdx,WindowWIS,WindowRMSE,WindowMAE,MeanCoverage,MeanIntervalWidth
A1,ARX,Both,49,50,1.53197533999213e-07,2.58421532941521e-07,1.5737208247657e-07,0,1.26455137948258e-08
A1,ARX,Both,56,57,1.88793180000336e-07,3.16067819690608e-07,1.9495707418279e-07,0,1.81807011588399e-08
A1,ARX,Both,63,64,2.28758451039716e-07,3.82882599438966e-07,2.39855296100901e-07,0,2.62681090926594e-08
A1,ARX,Both,70,71,2.66611649633059e-07,4.42534556202033e-07,2.79804863390076e-07,0,3.58761288018642e-08
A1,ARX,Both,77,78,3.0684839517819e-07,5.00701251355857e-07,3.19043867705712e-07,0,3.90959645332359e-08
A1,ARX,Both,84,85,3.3256360679155e-07,5.46314028045587e-07,3.5088988830407e-07,0,5.05795068843946e-08
A1,ARX,Both,91,92,3.49301748329251e-07,5.75149077295548e-07,3.73413725052174e-07,0,7.93915971852854e-08
A1,ARX,Both,98,99,3.35908374079027e-07,5.67402489944297e-07,3.71727223320255e-07,0,8.8798293024217e-08
A1,ARX,Both,105,106,2.87330371260909e-07,4.89509653258455e-07,3.24980214580098e-07,0,8.66446700736085e-08
A1,ARX,Both,112,113,1.68123023201364e-07,3.02950119136996e-07,2.06818465068156e-07,0.0178571428571429,9.81989166410584e-08
A1,ARX,Both,119,120,1.30370777679584e-08,6.0675436095346e-08,3.13182025868386e-08,0.839285714285714,9.68747899795666e-08
A1,ARX,Both,126,127,4.03560527908535e-07,7.0120247538493e-07,4.45657963072626e-07,0,9.43296250158606e-08
A1,ARX,Both,133,134,1.10671104277309e-06,1.76559532306475e-06,1.14830627381427e-06,0,1.23666640987143e-07
A1,ARX,Both,140,141,2.24036897552765e-06,3.56680248114037e-06,2.34501417378003e-06,0,2.28153707529774e-07
A1,ARX,Both,147,148,4.1000147421975e-06,6.41917562688678e-06,4.24187568453289e-06,0,3.85103445394679e-07
A1,ARX,Both,154,155,6.99568633655913e-06,1.09835185542418e-05,7.29509458238401e-06,0,7.75919589151337e-07
